,video,audio,label,center
0,speaker036_0043,speaker036_0043,1,135
1,speaker035_0031,speaker035_0031,1,11
2,speaker213_0000,speaker213_0001,0,26
3,speaker304_0009,speaker304_0009,1,193
4,speaker173_0005,speaker043_0010,0,114
5,speaker307_0001,speaker307_0001,1,1
6,speaker202_0015,speaker202_0015,1,86
7,speaker091_0001,speaker091_0001,1,40
8,speaker083_0000,speaker083_0000,1,176
9,speaker107_0000,speaker107_0000,0,99
10,speaker079_0000,speaker079_0000,0,43
11,speaker078_0001,speaker078_0001,0,58
12,speaker153_0000,speaker153_0000,0,49
13,speaker221_0003,speaker221_0003,1,21
14,speaker288_0007,speaker288_0007,1,1
15,speaker154_0007,speaker154_0007,1,11
16,speaker137_0003,speaker137_0003,1,69
17,speaker214_0002,speaker121_0006,0,19
18,speaker008_0020,speaker008_0020,1,48
19,speaker245_0001,speaker245_0000,0,59
20,speaker279_0002,speaker327_0002,0,22
21,speaker099_0003,speaker099_0019,0,134
22,speaker120_0001,speaker120_0001,1,3
23,speaker021_0000,speaker279_0000,0,53
24,speaker202_0000,speaker202_0000,1,30
25,speaker160_0000,speaker160_0000,0,9
26,speaker243_0006,speaker243_0006,1,32
27,speaker320_0005,speaker320_0005,1,77
28,speaker151_0001,speaker151_0001,1,32
29,speaker133_0001,speaker091_0009,0,34
30,speaker179_0003,speaker179_0000,0,45
31,speaker334_0003,speaker334_0003,1,5
32,speaker233_0001,speaker326_0025,0,44
33,speaker160_0000,speaker160_0001,0,50
34,speaker304_0006,speaker304_0006,0,24
35,speaker131_0000,speaker209_0003,0,3
36,speaker054_0006,speaker054_0013,0,13
37,speaker275_0005,speaker275_0005,0,51
38,speaker203_0011,speaker248_0010,0,94
39,speaker179_0009,speaker179_0009,1,1
40,speaker216_0002,speaker216_0002,1,14
41,speaker301_0000,speaker301_0004,0,76
42,speaker255_0002,speaker322_0000,0,56
43,speaker115_0001,speaker115_0001,1,2
44,speaker034_0013,speaker034_0005,0,100
45,speaker105_0000,speaker105_0000,1,44
46,speaker124_0000,speaker124_0000,1,26
47,speaker037_0032,speaker037_0032,1,135
48,speaker324_0011,speaker324_0011,0,223
49,speaker320_0002,speaker320_0000,0,141
50,speaker203_0002,speaker203_0002,1,1
51,speaker177_0000,speaker322_0002,0,42
52,speaker157_0005,speaker157_0004,0,26
53,speaker308_0000,speaker044_0002,0,35
54,speaker186_0009,speaker186_0009,0,28
55,speaker271_0000,speaker271_0005,0,55
56,speaker105_0000,speaker105_0000,1,48
57,speaker173_0011,speaker173_0011,1,140
58,speaker107_0003,speaker053_0002,0,17
59,speaker288_0007,speaker288_0003,0,40
60,speaker137_0002,speaker137_0002,0,53
61,speaker186_0002,speaker186_0002,1,36
62,speaker203_0011,speaker203_0011,1,26
63,speaker015_0002,speaker015_0031,0,212
64,speaker087_0001,speaker087_0001,0,64
65,speaker241_0000,speaker312_0007,0,5
66,speaker320_0003,speaker320_0003,1,10
67,speaker160_0000,speaker160_0000,1,54
68,speaker281_0021,speaker281_0021,1,78
69,speaker091_0020,speaker091_0020,1,123
70,speaker202_0020,speaker202_0020,0,4
71,speaker240_0001,speaker240_0001,0,110
72,speaker215_0004,speaker277_0004,0,146
73,speaker183_0001,speaker183_0001,0,29
74,speaker301_0003,speaker301_0004,0,38
75,speaker200_0001,speaker200_0001,0,97
76,speaker030_0006,speaker030_0006,1,61
77,speaker226_0008,speaker176_0000,0,131
78,speaker067_0000,speaker067_0000,1,95
79,speaker170_0001,speaker170_0002,0,2
80,speaker171_0006,speaker171_0006,1,14
81,speaker317_0001,speaker317_0001,1,46
82,speaker179_0008,speaker097_0001,0,27
83,speaker172_0002,speaker172_0002,1,64
84,speaker206_0007,speaker206_0007,1,16
85,speaker236_0000,speaker236_0000,1,39
86,speaker125_0000,speaker125_0000,1,53
87,speaker286_0001,speaker286_0001,1,42
88,speaker178_0002,speaker178_0002,0,15
89,speaker317_0000,speaker317_0000,0,72
90,speaker317_0005,speaker317_0002,0,93
91,speaker209_0003,speaker209_0004,0,50
92,speaker130_0000,speaker130_0000,1,5
93,speaker075_0005,speaker075_0005,1,12
94,speaker322_0001,speaker322_0002,0,101
95,speaker030_0005,speaker030_0005,1,78
96,speaker128_0000,speaker091_0012,0,47
97,speaker186_0013,speaker036_0034,0,4
98,speaker079_0000,speaker097_0000,0,4
99,speaker131_0001,speaker308_0006,0,2
100,speaker156_0000,speaker156_0000,1,120
101,speaker015_0003,speaker015_0003,1,36
102,speaker108_0000,speaker108_0000,1,11
103,speaker271_0001,speaker271_0001,1,84
104,speaker183_0000,speaker183_0000,1,24
105,speaker177_0002,speaker192_0019,0,48
106,speaker248_0005,speaker248_0005,1,21
107,speaker037_0042,speaker037_0042,1,127
108,speaker180_0002,speaker180_0002,0,12
109,speaker209_0000,speaker209_0004,0,100
110,speaker320_0002,speaker320_0003,0,117
111,speaker035_0000,speaker035_0000,1,14
112,speaker206_0003,speaker277_0012,0,45
113,speaker259_0002,speaker259_0002,1,5
114,speaker332_0000,speaker332_0001,0,21
115,speaker123_0001,speaker123_0001,1,0
116,speaker122_0000,speaker122_0000,1,53
117,speaker289_0000,speaker289_0000,1,3
118,speaker153_0007,speaker153_0007,0,51
119,speaker053_0000,speaker053_0000,0,13
120,speaker175_0000,speaker175_0002,0,46
121,speaker203_0006,speaker085_0000,0,28
122,speaker171_0004,speaker171_0004,0,40
123,speaker206_0005,speaker206_0005,1,13
124,speaker044_0018,speaker044_0018,1,84
125,speaker333_0000,speaker181_0002,0,24
126,speaker334_0000,speaker078_0001,0,23
127,speaker162_0000,speaker161_0003,0,23
128,speaker329_0006,speaker329_0006,1,47
129,speaker229_0000,speaker220_0011,0,27
130,speaker160_0001,speaker160_0000,0,70
131,speaker265_0001,speaker265_0002,0,27
132,speaker211_0000,speaker211_0002,0,34
133,speaker276_0003,speaker276_0003,0,103
134,speaker325_0009,speaker325_0009,1,115
135,speaker322_0001,speaker190_0001,0,21
136,speaker220_0001,speaker220_0001,1,44
137,speaker202_0000,speaker202_0010,0,22
138,speaker320_0005,speaker320_0005,1,110
139,speaker078_0001,speaker178_0001,0,58
140,speaker245_0001,speaker245_0001,1,16
141,speaker236_0000,speaker236_0000,1,111
142,speaker259_0003,speaker259_0000,0,78
143,speaker063_0015,speaker063_0015,1,16
144,speaker108_0000,speaker108_0000,1,14
145,speaker225_0000,speaker225_0000,1,102
146,speaker063_0006,speaker063_0006,0,14
147,speaker181_0001,speaker181_0001,1,27
148,speaker327_0007,speaker327_0005,0,209
149,speaker053_0004,speaker053_0004,1,22
150,speaker179_0002,speaker179_0009,0,39
151,speaker177_0001,speaker177_0001,1,5
152,speaker244_0000,speaker244_0000,1,5
153,speaker079_0000,speaker079_0000,1,45
154,speaker237_0003,speaker237_0003,1,14
155,speaker288_0010,speaker252_0014,0,21
156,speaker037_0048,speaker037_0048,1,40
157,speaker038_0008,speaker038_0033,0,14
158,speaker079_0000,speaker079_0000,1,51
159,speaker277_0011,speaker277_0011,1,36
160,speaker053_0000,speaker053_0000,1,47
161,speaker333_0002,speaker333_0002,0,23
162,speaker266_0000,speaker266_0000,0,80
163,speaker294_0001,speaker294_0001,1,24
164,speaker221_0005,speaker221_0005,1,28
165,speaker307_0004,speaker307_0004,1,9
166,speaker304_0004,speaker304_0004,1,25
167,speaker096_0001,speaker096_0003,0,2
168,speaker281_0012,speaker281_0049,0,53
169,speaker120_0001,speaker120_0001,1,24
170,speaker307_0000,speaker307_0003,0,71
171,speaker259_0003,speaker259_0000,0,8
172,speaker172_0006,speaker172_0007,0,70
173,speaker044_0022,speaker044_0014,0,44
174,speaker222_0011,speaker072_0000,0,89
175,speaker078_0001,speaker327_0009,0,5
176,speaker233_0005,speaker233_0015,0,66
177,speaker170_0002,speaker170_0002,0,12
178,speaker190_0001,speaker190_0005,0,144
179,speaker079_0000,speaker079_0000,1,18
180,speaker034_0016,speaker034_0016,1,22
181,speaker063_0001,speaker063_0001,0,49
182,speaker221_0007,speaker221_0007,1,132
183,speaker294_0000,speaker294_0000,1,14
184,speaker181_0000,speaker181_0000,1,45
185,speaker054_0006,speaker054_0006,1,36
186,speaker181_0000,speaker181_0000,1,6
187,speaker200_0001,speaker200_0001,1,51
188,speaker323_0006,speaker323_0006,1,68
189,speaker233_0003,speaker233_0003,1,42
190,speaker195_0003,speaker195_0003,1,16
191,speaker035_0008,speaker085_0000,0,12
192,speaker117_0000,speaker117_0000,1,42
193,speaker233_0015,speaker233_0006,0,183
194,speaker233_0015,speaker233_0015,1,29
195,speaker301_0003,speaker301_0003,0,105
196,speaker271_0017,speaker091_0000,0,19
197,speaker317_0005,speaker317_0002,0,98
198,speaker245_0000,speaker245_0000,1,15
199,speaker036_0016,speaker034_0016,0,95
200,speaker104_0003,speaker104_0003,0,24
201,speaker120_0000,speaker120_0000,1,29
202,speaker131_0000,speaker131_0000,1,12
203,speaker101_0001,speaker101_0001,1,36
204,speaker286_0004,speaker286_0000,0,39
205,speaker154_0007,speaker171_0001,0,41
206,speaker008_0016,speaker008_0016,1,198
207,speaker072_0000,speaker190_0002,0,56
208,speaker167_0000,speaker167_0000,0,15
209,speaker036_0009,speaker151_0000,0,18
210,speaker153_0002,speaker195_0003,0,39
211,speaker209_0003,speaker209_0003,1,62
212,speaker105_0000,speaker105_0000,0,28
213,speaker214_0002,speaker214_0002,1,26
214,speaker245_0000,speaker245_0000,1,3
215,speaker123_0001,speaker123_0002,0,11
216,speaker151_0002,speaker151_0002,1,1
217,speaker157_0004,speaker157_0003,0,44
218,speaker063_0025,speaker063_0008,0,110
219,speaker172_0006,speaker172_0006,1,8
220,speaker154_0002,speaker129_0000,0,25
221,speaker041_0005,speaker288_0007,0,40
222,speaker221_0005,speaker221_0005,0,40
223,speaker315_0011,speaker315_0011,0,59
224,speaker209_0004,speaker209_0004,1,83
225,speaker286_0004,speaker286_0004,1,44
226,speaker083_0000,speaker170_0003,0,144
227,speaker104_0003,speaker104_0004,0,137
228,speaker275_0008,speaker120_0000,0,116
229,speaker044_0024,speaker044_0024,1,138
230,speaker241_0005,speaker203_0003,0,36
231,speaker158_0002,speaker158_0002,0,107
232,speaker251_0004,speaker251_0011,0,136
233,speaker334_0003,speaker334_0003,1,56
234,speaker142_0003,speaker091_0012,0,84
235,speaker269_0000,speaker269_0000,1,43
236,speaker244_0000,speaker133_0000,0,41
237,speaker015_0035,speaker015_0035,0,87
238,speaker244_0000,speaker244_0000,1,44
239,speaker044_0024,speaker044_0007,0,45
240,speaker160_0000,speaker160_0001,0,21
241,speaker288_0013,speaker288_0013,1,83
242,speaker179_0005,speaker179_0005,1,24
243,speaker157_0000,speaker157_0000,1,0
244,speaker104_0000,speaker104_0000,1,30
245,speaker195_0002,speaker133_0000,0,12
246,speaker334_0000,speaker334_0004,0,24
247,speaker067_0000,speaker067_0001,0,67
248,speaker301_0001,speaker243_0001,0,27
249,speaker245_0001,speaker167_0001,0,63
250,speaker083_0000,speaker083_0000,1,95
251,speaker015_0026,speaker015_0014,0,78
252,speaker255_0002,speaker260_0000,0,26
253,speaker329_0000,speaker329_0000,1,44
254,speaker245_0001,speaker044_0020,0,56
255,speaker070_0003,speaker070_0003,1,46
256,speaker067_0000,speaker067_0000,1,115
257,speaker120_0000,speaker120_0000,1,70
258,speaker251_0012,speaker251_0012,1,30
259,speaker151_0001,speaker151_0000,0,13
260,speaker133_0003,speaker133_0003,0,60
261,speaker181_0002,speaker181_0001,0,12
262,speaker156_0000,speaker156_0000,1,240
263,speaker317_0003,speaker317_0003,0,42
264,speaker015_0021,speaker038_0002,0,18
265,speaker181_0002,speaker137_0003,0,23
266,speaker221_0005,speaker221_0005,1,15
267,speaker255_0002,speaker255_0002,1,52
268,speaker099_0011,speaker099_0011,1,21
269,speaker288_0009,speaker288_0009,1,2
270,speaker244_0000,speaker244_0000,1,32
271,speaker289_0000,speaker289_0000,0,8
272,speaker326_0024,speaker326_0030,0,46
273,speaker133_0002,speaker133_0002,1,20
274,speaker182_0000,speaker240_0004,0,31
275,speaker099_0019,speaker244_0000,0,43
276,speaker140_0002,speaker140_0002,1,29
277,speaker096_0002,speaker096_0002,1,117
278,speaker260_0016,speaker260_0016,0,11
279,speaker075_0004,speaker075_0010,0,47
280,speaker276_0001,speaker276_0001,1,26
281,speaker322_0000,speaker322_0000,0,194
282,speaker271_0010,speaker245_0000,0,34
283,speaker123_0000,speaker123_0001,0,13
284,speaker324_0005,speaker324_0010,0,55
285,speaker038_0020,speaker038_0020,1,23
286,speaker288_0008,speaker288_0008,1,59
287,speaker075_0003,speaker075_0003,0,32
288,speaker237_0000,speaker237_0003,0,75
289,speaker035_0051,speaker035_0051,1,121
290,speaker250_0001,speaker250_0001,1,17
291,speaker286_0000,speaker277_0001,0,78
292,speaker333_0001,speaker333_0000,0,33
293,speaker036_0011,speaker036_0024,0,26
294,speaker333_0001,speaker333_0002,0,41
295,speaker182_0001,speaker182_0001,0,21
296,speaker266_0000,speaker128_0001,0,44
297,speaker329_0007,speaker329_0006,0,53
298,speaker203_0005,speaker203_0005,1,76
299,speaker307_0000,speaker307_0000,1,94
300,speaker153_0001,speaker153_0001,1,6
301,speaker030_0010,speaker030_0006,0,46
302,speaker243_0004,speaker243_0004,1,10
303,speaker122_0002,speaker122_0002,1,13
304,speaker241_0001,speaker241_0001,1,0
305,speaker281_0045,speaker281_0045,1,37
306,speaker203_0006,speaker203_0004,0,14
307,speaker130_0001,speaker130_0001,0,100
308,speaker075_0010,speaker075_0010,0,22
309,speaker124_0000,speaker124_0000,1,88
310,speaker226_0030,speaker226_0030,0,80
311,speaker194_0002,speaker194_0002,1,84
312,speaker177_0002,speaker177_0001,0,24
313,speaker334_0001,speaker334_0000,0,2
314,speaker140_0001,speaker120_0000,0,7
315,speaker070_0032,speaker070_0032,1,0
316,speaker221_0005,speaker221_0005,0,27
317,speaker078_0001,speaker078_0001,1,24
318,speaker114_0000,speaker114_0000,0,46
319,speaker171_0003,speaker171_0003,0,7
320,speaker289_0003,speaker289_0003,0,23
321,speaker060_0002,speaker060_0002,1,18
322,speaker157_0000,speaker157_0000,1,39
323,speaker173_0001,speaker173_0002,0,110
324,speaker250_0000,speaker250_0000,1,2
325,speaker175_0001,speaker175_0001,1,111
326,speaker157_0004,speaker157_0004,1,24
327,speaker162_0004,speaker162_0004,1,17
328,speaker114_0000,speaker114_0000,1,28
329,speaker195_0005,speaker195_0002,0,104
330,speaker087_0001,speaker087_0001,0,100
331,speaker225_0000,speaker225_0000,0,105
332,speaker333_0001,speaker333_0001,1,69
333,speaker171_0003,speaker171_0003,1,31
334,speaker115_0001,speaker332_0006,0,10
335,speaker183_0000,speaker183_0000,1,39
336,speaker301_0000,speaker301_0000,1,66
337,speaker200_0001,speaker200_0001,1,83
338,speaker180_0003,speaker087_0001,0,57
339,speaker133_0001,speaker133_0001,1,29
340,speaker096_0005,speaker096_0005,1,55
341,speaker154_0006,speaker154_0006,0,73
342,speaker329_0006,speaker329_0003,0,117
343,speaker179_0003,speaker179_0003,1,19
344,speaker271_0008,speaker202_0007,0,130
345,speaker294_0000,speaker294_0001,0,16
346,speaker312_0005,speaker312_0005,0,21
347,speaker030_0008,speaker030_0008,1,25
348,speaker153_0011,speaker153_0011,1,49
349,speaker173_0004,speaker173_0004,1,76
350,speaker190_0002,speaker190_0000,0,5
351,speaker222_0011,speaker079_0000,0,12
352,speaker130_0003,speaker130_0003,1,11
353,speaker122_0000,speaker154_0006,0,71
354,speaker176_0000,speaker176_0000,1,5
355,speaker038_0002,speaker038_0002,1,4
356,speaker202_0004,speaker202_0013,0,56
357,speaker281_0020,speaker281_0020,1,10
358,speaker186_0005,speaker186_0002,0,12
359,speaker326_0015,speaker289_0000,0,106
360,speaker151_0001,speaker151_0001,1,23
361,speaker128_0000,speaker128_0000,1,34
362,speaker137_0000,speaker176_0000,0,0
363,speaker125_0000,speaker125_0000,0,59
364,speaker240_0006,speaker240_0006,1,20
365,speaker221_0005,speaker221_0005,1,38
366,speaker229_0001,speaker229_0001,0,5
367,speaker124_0000,speaker124_0000,1,89
368,speaker120_0000,speaker120_0000,1,94
369,speaker130_0001,speaker130_0000,0,99
370,speaker044_0001,speaker044_0001,1,23
371,speaker323_0007,speaker323_0000,0,146
372,speaker041_0002,speaker041_0002,1,27
373,speaker250_0001,speaker250_0001,0,3
374,speaker128_0000,speaker128_0000,1,15
375,speaker162_0002,speaker162_0002,1,30
376,speaker120_0001,speaker120_0001,1,34
377,speaker241_0004,speaker241_0004,1,0
378,speaker078_0001,speaker078_0001,1,45
379,speaker173_0010,speaker173_0010,0,4
380,speaker266_0000,speaker266_0000,1,79
381,speaker060_0000,speaker060_0001,0,68
382,speaker036_0033,speaker036_0033,1,28
383,speaker035_0056,speaker035_0056,1,39
384,speaker308_0007,speaker308_0007,1,1
385,speaker237_0003,speaker312_0011,0,32
386,speaker151_0000,speaker151_0002,0,1
387,speaker101_0003,speaker101_0003,0,9
388,speaker044_0029,speaker044_0029,1,8
389,speaker172_0003,speaker079_0000,0,5
390,speaker097_0002,speaker097_0002,1,21
391,speaker030_0015,speaker030_0015,1,22
392,speaker243_0002,speaker243_0002,1,130
393,speaker182_0001,speaker182_0000,0,14
394,speaker182_0001,speaker182_0000,0,39
395,speaker183_0000,speaker183_0000,1,36
396,speaker243_0000,speaker243_0000,1,42
397,speaker237_0005,speaker237_0005,0,17
398,speaker214_0002,speaker214_0002,0,24
399,speaker194_0003,speaker277_0012,0,34
400,speaker194_0002,speaker194_0002,0,51
401,speaker221_0006,speaker233_0000,0,3
402,speaker250_0002,speaker250_0002,0,36
403,speaker266_0000,speaker266_0000,1,107
404,speaker089_0000,speaker289_0003,0,52
405,speaker179_0011,speaker179_0011,1,83
406,speaker131_0001,speaker131_0001,0,19
407,speaker157_0004,speaker157_0004,1,45
408,speaker041_0029,speaker041_0016,0,19
409,speaker320_0002,speaker320_0002,0,136
410,speaker084_0000,speaker084_0000,1,16
411,speaker182_0000,speaker182_0000,0,27
412,speaker097_0000,speaker097_0000,0,22
413,speaker115_0000,speaker115_0001,0,17
414,speaker171_0003,speaker171_0003,1,23
415,speaker231_0001,speaker231_0001,0,119
416,speaker333_0000,speaker333_0000,1,19
417,speaker101_0001,speaker091_0008,0,8
418,speaker213_0002,speaker213_0002,1,89
419,speaker229_0001,speaker229_0001,0,36
420,speaker304_0018,speaker304_0018,0,18
421,speaker120_0001,speaker120_0000,0,8
422,speaker244_0000,speaker244_0000,1,67
423,speaker067_0000,speaker067_0000,1,97
424,speaker323_0011,speaker323_0011,1,21
425,speaker161_0000,speaker240_0004,0,31
426,speaker097_0002,speaker097_0001,0,4
427,speaker161_0007,speaker105_0000,0,51
428,speaker243_0002,speaker123_0002,0,79
429,speaker245_0000,speaker245_0000,1,11
430,speaker117_0000,speaker117_0000,1,45
431,speaker323_0001,speaker323_0001,1,52
432,speaker229_0003,speaker229_0003,1,21
433,speaker331_0000,speaker331_0000,0,14
434,speaker231_0001,speaker151_0001,0,56
435,speaker315_0022,speaker315_0022,1,63
436,speaker130_0001,speaker156_0000,0,93
437,speaker329_0001,speaker329_0001,1,21
438,speaker085_0000,speaker085_0000,1,9
439,speaker308_0007,speaker161_0007,0,61
440,speaker060_0002,speaker060_0002,1,30
441,speaker097_0001,speaker202_0004,0,46
442,speaker035_0045,speaker035_0033,0,27
443,speaker334_0003,speaker334_0003,1,66
444,speaker237_0003,speaker237_0004,0,17
445,speaker154_0002,speaker154_0002,0,57
446,speaker200_0001,speaker200_0001,0,65
447,speaker233_0010,speaker233_0010,1,69
448,speaker124_0000,speaker124_0000,0,62
449,speaker173_0004,speaker173_0004,1,70
450,speaker008_0009,speaker008_0009,1,134
451,speaker030_0003,speaker030_0003,0,48
452,speaker308_0007,speaker308_0007,1,49
453,speaker104_0000,speaker276_0012,0,19
454,speaker237_0002,speaker237_0002,1,43
455,speaker195_0002,speaker072_0000,0,36
456,speaker195_0004,speaker195_0004,0,83
457,speaker195_0002,speaker195_0002,0,24
458,speaker096_0005,speaker096_0005,0,118
459,speaker286_0004,speaker286_0004,1,73
460,speaker315_0025,speaker315_0025,1,99
461,speaker130_0002,speaker130_0002,0,110
462,speaker317_0004,speaker317_0004,1,26
463,speaker243_0005,speaker312_0007,0,154
464,speaker260_0018,speaker260_0018,1,48
465,speaker096_0003,speaker206_0001,0,7
466,speaker244_0000,speaker244_0000,1,48
467,speaker036_0031,speaker036_0031,0,97
468,speaker222_0005,speaker222_0005,1,45
469,speaker294_0000,speaker294_0001,0,86
470,speaker114_0000,speaker114_0000,0,58
471,speaker041_0021,speaker041_0021,0,39
472,speaker329_0005,speaker252_0027,0,29
473,speaker176_0001,speaker176_0001,1,18
474,speaker323_0009,speaker323_0009,1,82
475,speaker133_0003,speaker133_0001,0,84
476,speaker216_0004,speaker216_0004,1,33
477,speaker324_0010,speaker324_0010,1,62
478,speaker087_0001,speaker072_0000,0,116
479,speaker203_0002,speaker203_0000,0,1
480,speaker154_0006,speaker154_0006,1,35
481,speaker324_0003,speaker324_0003,1,96
482,speaker122_0002,speaker122_0000,0,53
483,speaker060_0002,speaker060_0002,0,27
484,speaker021_0007,speaker021_0007,1,4
485,speaker194_0003,speaker194_0003,1,17
486,speaker209_0002,speaker209_0004,0,90
487,speaker183_0001,speaker183_0001,0,59
488,speaker178_0000,speaker178_0000,1,0
489,speaker072_0000,speaker072_0000,0,22
490,speaker125_0000,speaker125_0000,1,42
491,speaker170_0002,speaker170_0003,0,59
492,speaker070_0014,speaker070_0014,1,136
493,speaker243_0000,speaker243_0000,0,112
494,speaker161_0009,speaker161_0002,0,61
495,speaker101_0000,speaker101_0000,0,6
496,speaker243_0005,speaker243_0002,0,3
497,speaker041_0020,speaker041_0020,0,25
498,speaker096_0003,speaker096_0002,0,45
499,speaker157_0005,speaker157_0005,1,88
500,speaker240_0004,speaker240_0001,0,22
501,speaker222_0003,speaker222_0003,1,167
502,speaker329_0001,speaker329_0001,0,13
503,speaker175_0001,speaker175_0001,0,90
504,speaker186_0006,speaker186_0006,0,16
505,speaker072_0000,speaker072_0000,0,67
506,speaker326_0038,speaker325_0002,0,65
507,speaker091_0017,speaker091_0000,0,46
508,speaker308_0008,speaker308_0004,0,39
509,speaker015_0006,speaker015_0006,0,13
510,speaker209_0001,speaker209_0002,0,103
511,speaker320_0006,speaker320_0004,0,7
512,speaker315_0025,speaker315_0025,1,66
513,speaker114_0000,speaker114_0000,0,15
514,speaker265_0002,speaker265_0000,0,10
515,speaker243_0001,speaker243_0001,1,38
516,speaker260_0021,speaker170_0003,0,30
517,speaker151_0000,speaker151_0000,0,19
518,speaker162_0002,speaker329_0008,0,25
519,speaker325_0001,speaker325_0001,0,20
520,speaker087_0001,speaker087_0001,0,112
521,speaker167_0001,speaker167_0001,1,23
522,speaker108_0000,speaker108_0000,1,3
523,speaker078_0001,speaker078_0001,1,2
524,speaker252_0000,speaker252_0000,1,20
525,speaker101_0001,speaker101_0001,0,27
526,speaker190_0004,speaker190_0004,1,18
527,speaker216_0002,speaker216_0004,0,15
528,speaker133_0001,speaker133_0001,1,2
529,speaker194_0002,speaker194_0002,0,64
530,speaker182_0001,speaker182_0001,1,4
531,speaker286_0000,speaker286_0000,1,131
532,speaker255_0001,speaker255_0001,0,52
533,speaker323_0005,speaker323_0010,0,207
534,speaker324_0007,speaker324_0007,0,26
535,speaker294_0001,speaker294_0001,1,92
536,speaker179_0004,speaker179_0004,1,27
537,speaker117_0002,speaker117_0000,0,9
538,speaker240_0006,speaker171_0002,0,14
539,speaker151_0002,speaker240_0001,0,50
540,speaker279_0001,speaker279_0001,1,43
541,speaker269_0000,speaker269_0000,1,69
542,speaker322_0001,speaker322_0001,0,60
543,speaker156_0001,speaker156_0000,0,37
544,speaker035_0044,speaker035_0044,0,6
545,speaker286_0002,speaker101_0003,0,37
546,speaker265_0001,speaker265_0001,1,162
547,speaker160_0001,speaker160_0001,1,3
548,speaker053_0000,speaker053_0000,1,10
549,speaker329_0004,speaker329_0004,1,52
550,speaker075_0009,speaker075_0009,1,50
551,speaker260_0009,speaker260_0000,0,64
552,speaker233_0010,speaker233_0010,0,119
553,speaker084_0000,speaker084_0000,0,37
554,speaker240_0000,speaker043_0011,0,15
555,speaker333_0002,speaker333_0002,0,1
556,speaker182_0000,speaker182_0000,1,5
557,speaker194_0001,speaker194_0001,1,5
558,speaker225_0002,speaker320_0006,0,10
559,speaker122_0000,speaker122_0002,0,40
560,speaker237_0003,speaker237_0003,1,12
561,speaker243_0000,speaker271_0002,0,36
562,speaker320_0004,speaker320_0000,0,36
563,speaker289_0000,speaker289_0000,1,21
564,speaker142_0003,speaker053_0006,0,193
565,speaker160_0001,speaker160_0001,1,47
566,speaker008_0017,speaker008_0017,1,18
567,speaker186_0008,speaker186_0008,1,31
568,speaker236_0000,speaker236_0000,1,83
