,video,audio,label,center
0,speaker073_0000,speaker073_0000,1,34
1,speaker205_0000,speaker205_0001,0,75
2,speaker163_0000,speaker163_0000,1,118
3,speaker314_0011,speaker314_0011,1,18
4,speaker300_0001,speaker300_0001,0,19
5,speaker205_0000,speaker205_0000,0,74
6,speaker328_0004,speaker328_0004,0,102
7,speaker103_0003,speaker103_0000,0,26
8,speaker080_0000,speaker080_0000,0,3
9,speaker185_0009,speaker185_0009,1,48
10,speaker155_0005,speaker285_0002,0,22
11,speaker298_0002,speaker039_0001,0,69
12,speaker292_0016,speaker292_0016,1,88
13,speaker149_0000,speaker149_0000,1,7
14,speaker146_0000,speaker310_0010,0,30
15,speaker321_0002,speaker321_0003,0,74
16,speaker068_0012,speaker068_0012,0,52
17,speaker155_0002,speaker155_0004,0,12
18,speaker146_0000,speaker146_0002,0,21
19,speaker048_0001,speaker048_0001,0,104
20,speaker314_0012,speaker314_0012,0,30
21,speaker270_0008,speaker270_0008,1,64
22,speaker247_0010,speaker247_0010,0,18
23,speaker328_0001,speaker270_0004,0,23
24,speaker274_0014,speaker274_0013,0,16
25,speaker212_0027,speaker090_0000,0,208
26,speaker166_0009,speaker166_0012,0,10
27,speaker189_0001,speaker146_0001,0,29
28,speaker094_0004,speaker094_0006,0,19
29,speaker232_0003,speaker232_0003,1,37
30,speaker073_0000,speaker073_0000,1,170
31,speaker143_0002,speaker143_0002,1,90
32,speaker076_0003,speaker076_0003,1,18
33,speaker064_0001,speaker064_0001,1,39
34,speaker264_0002,speaker264_0000,0,6
35,speaker321_0002,speaker321_0001,0,74
36,speaker274_0015,speaker300_0001,0,90
37,speaker205_0002,speaker205_0002,0,26
38,speaker306_0002,speaker306_0002,1,89
39,speaker080_0000,speaker080_0000,1,3
40,speaker299_0003,speaker299_0003,1,75
41,speaker095_0000,speaker095_0000,1,113
42,speaker256_0003,speaker256_0001,0,31
43,speaker313_0009,speaker313_0009,1,21
44,speaker116_0000,speaker273_0001,0,12
45,speaker127_0005,speaker127_0005,0,17
46,speaker227_0001,speaker227_0000,0,6
47,speaker092_0002,speaker092_0002,1,68
48,speaker228_0001,speaker139_0004,0,54
49,speaker306_0002,speaker306_0002,1,152
